OBJECTID,safield002,safield003,sauid,saangle,sasize,sasymbolno,safield000,x,y,objectid_1,x1,y1
1187,松原1-57-10,,,,,,,139.6562086,35.67107793,1187,139.6562086,35.67107793
1188,松原1-56-27,,,,,,,139.6561328,35.67070321,1188,139.6561328,35.67070321
1189,松原1-56-22,,,,,,,139.6555501,35.67082214,1189,139.6555501,35.67082214
1190,松原1-56-15,,,,,,,139.6550344,35.67032545,1190,139.6550344,35.67032545
1191,松原1-56-12,,,,,,,139.6553085,35.66994899,1191,139.6553085,35.66994899
1192,松原1-5-5,,,,,,,139.6558577,35.66948739,1192,139.6558577,35.66948739
1193,松原1-54-12,,,,,,,139.6545939,35.67047478,1193,139.6545939,35.67047478
1194,松原1-54-11,,,,,,,139.6544008,35.67046142,1194,139.6544008,35.67046142
1195,松原1-52-9,,,,,,,139.6543083,35.67022026,1195,139.6543083,35.67022026
1196,松原1-52-4,,,,,,,139.6538395,35.67023065,1196,139.6538395,35.67023065
1197,松原1-54-7,,,,,,,139.653816,35.67051103,1197,139.653816,35.67051103
1198,松原1-46-11,,,,,,,139.6531844,35.67023454,1198,139.6531844,35.67023454
1199,松原1-45-11,,,,,,,139.6526486,35.67041653,1199,139.6526486,35.67041653
1200,松原1-50-7,,,,,,,139.6539778,35.66952769,1200,139.6539778,35.66952769
1201,松原1-45-7,,,,,,,139.6521064,35.67021012,1201,139.6521064,35.67021012
1202,松原1-39-21,,,,,,,139.6521131,35.66986111,1202,139.6521131,35.66986111
1203,松原1-44-3,,,,,,,139.6524802,35.66968256,1203,139.6524802,35.66968256
1204,松原1-40-1,,,,,,,139.6521707,35.6692727,1204,139.6521707,35.6692727
1205,松原1-39-11,,,,,,,139.6511605,35.67008033,1205,139.6511605,35.67008033
1206,松原1-39-12,,,,,,,139.6514012,35.67019184,1206,139.6514012,35.67019184
1207,松原1-38-25,,,,,,,139.6512203,35.6693586,1207,139.6512203,35.6693586
1208,松原1-37-18,,,,,,,139.6506486,35.66920009,1208,139.6506486,35.66920009
1209,松原1-42-14,,,,,,,139.6528373,35.66916842,1209,139.6528373,35.66916842
1210,松原1-8-12,,,,,,,139.6537696,35.66906228,1210,139.6537696,35.66906228
1211,松原2-43-8,,,,,,,139.6495519,35.66958574,1211,139.6495519,35.66958574
1212,松原2-42-8,,,,,,,139.648944,35.66924301,1212,139.648944,35.66924301
1213,松原2-41-10,,,,,,,139.6492073,35.66869889,1213,139.6492073,35.66869889
1214,松原2-38-9,,,,,,,139.648052,35.66859887,1214,139.648052,35.66859887
1215,松原2-40-23,,,,,,,139.649054,35.66806373,1215,139.649054,35.66806373
1216,松原2-40-17,,,,,,,139.6483492,35.66811033,1216,139.6483492,35.66811033
1217,松原2-28-5,,,,,,,139.648331,35.6674469,1217,139.648331,35.6674469
1218,松原2-25-8,,,,,,,139.6494142,35.66759908,1218,139.6494142,35.66759908
1219,羽根木2-5-8,,,,,,,139.6591218,35.66764182,1219,139.6591218,35.66764182
